Time (UNIX Epoch),Is Radio On,TX Gain,Duration (s),Bandwidth,Sample Rate,Center Frequency,Low Frequency,High Frequency
1757435482.581012,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757435542.581370,0,0,42.628,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757435585.581412,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757435645.581115,0,0,30.923,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757435676.581638,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757435736.581777,0,0,47.664,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757435784.581906,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757435844.581840,0,0,39.531,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757435884.581851,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757435944.581708,0,0,31.074,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757435975.581297,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757436035.581158,0,0,36.363,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757436071.581642,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757436131.580869,0,0,30.278,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757436161.581362,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757436221.581145,0,0,49.571,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757436271.581391,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757436331.580834,0,0,44.45,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757436375.581505,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757436435.581065,0,0,50.494,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757436485.581095,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757436545.581324,0,0,49.812,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757436595.580830,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757436655.581544,0,0,47.557,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757436703.581097,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757436763.580871,0,0,39.004,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757436802.581479,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757436862.581172,0,0,53.287,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757436915.581593,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757436975.580854,0,0,45.351,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757437020.580852,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757437080.581511,0,0,36.782,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757437117.581730,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757437177.581624,0,0,30.837,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757437208.581073,1,48,60.0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
1757437263.581508,1,48,0,7200000.0,7200000.0,3619200000.0,-3600000.0,3600000.0
